Vehicle_ID,Image_Number,High_Resolution_URL
U00048751030,1,https://ccsrpcml.carsensor.net/CSphoto/ml/030/030/U00048751030/U00048751030_1_002.jpg?ver=detail001&impolicy=car_002
U00048751030,2,https://ccsrpcml.carsensor.net/CSphoto/ml/030/030/U00048751030/U00048751030_2_002.jpg?ver=detail001&impolicy=car_002
U00048751030,3,https://ccsrpcml.carsensor.net/CSphoto/ml/030/030/U00048751030/U00048751030_3_002.jpg?ver=detail001&impolicy=car_002
U00049554331,1,https://ccsrpcml.carsensor.net/CSphoto/ml/331/331/U00049554331/U00049554331_1_002.jpg?ver=detail001&impolicy=car_002
U00049554331,2,https://ccsrpcml.carsensor.net/CSphoto/ml/331/331/U00049554331/U00049554331_2_002.jpg?ver=detail001&impolicy=car_002
